codigo,nombre,uc,electiva,horas_estudio,id_departamento,id_nucleo,info
0412101T,Introducción a la Ingeniería en Informática,1,false,2,1,1,Los Fundamentos de la Ingenieria en Informática
0415102T,Computación I,3,false,8,1,1,Se ven los fundamentos de la computación
0826101T,Matemática I,4,false,10,2,0,Fundamentos del calculo:\nFunciones\nLimites\nDerivadas\Aplicación de Derivadads
0834102T,Matemática Discreta,3,false,8,2,0,Fundamentos de la Matemática Discreta:\nConjuntos y Logica\nAlgebra de Boole\nTeoria de Grafos
1023111T,Lenguaje y Comunicación,2,false,2,3,0,Aspectos fundamentales de la lengua española
1032109T,Efectividad Personal,1,false,2,3,0,Aspectos de una persona efectiva

0416207T,Programación I,4,FALSE,10,1,1,Programación Orientada a Objetos
0826201T,Matemática II,4,FALSE,10,2,0,Calculo Integral:\nIntegrales indefinidas\nIntegrales definidas\nCoordenas Polares\nSeries y Sucesiones
0842201T,Laboratorio De Física I,1,FALSE,3,2,0,Aplicaciones practicas de los conocimientos de Física I
0846203T,Física I,4,FALSE,10,2,0,Fundamentos de la fisica cinética
0914201T,Química General I,3,FALSE,8,4,0,Fundamentos de la Química inorgánica

0416304T,Estructura De Datos,4,FALSE,10,1,1,Estructuras de Datos fundamentales de la Programación
0423305T,Teoria General De Sistemas,2,FALSE,4,1,3,Teoria que estudia el comportamiento de los sistemas
0826301T,Matemática III,4,FALSE,10,2,0,Temas estudiados:\nAlgebra Lineal\nGeomtria analítica\nCalculo diferencial Multivariable\nCalculo Integral Multivariable
0842303L,Laboratorio De Física II,1,FALSE,3,2,0,Aplicaciones practicas de los conocimientos de Física II
0846302T,Física II,4,FALSE,10,2,0,Fundamentos de la fisica electrica
1023202T,Inglés I,2,FALSE,2,3,0,Aspectos basicos del inglés

0415405T,Programación II,3,FALSE,10,1,1,Aplicaciones de la Programación para la resolución de problemas reales 
0435406T,Fundamentos De Lógica Digital,3,FALSE,10,1,2,Fundamentos del comportamiento de bajo nivel de los circuitos
0826401T,Matemática IV,4,FALSE,10,2,0,Temas a estudiar:\nCampos Vectoriales\nNumeros Complejos\nEcuaciones diferenciales\nAplicación de ecuacion diferenciales
0834405T,Estadistica I,3,FALSE,8,2,0,Aspectos basicos de la Estadistica y probabilidad
1012207T,Ciencia Y Sociedad I,1,FALSE,2,3,0,Estudios sociales e historia de venezuela
1023302T,Ingles II,2,FALSE,2,3,0,Aspectos de inglés Conversacional

0236509T,Automatización,4,FALSE,8,5,0,Fundamentos de la automatización industrial
0425501T,Base De Datos I,3,FALSE,8,1,3,Fundamentos de la construcción de bases de datos y manejo de sentencias SQL
0436505T,Organización Del Computador,4,FALSE,6,1,2,Fundamentos del comportamiento a bajo nivel de un computador
0843501T,Estadistica II,3,FALSE,8,2,0,Fundamentos de casos de estudio estadistico
0834503T,Metodos Numéricos,3,FALSE,8,2,0,Aplicaciones de los metodos numericos para resolver problemas que no se pueden resolver facilmente mediante el calculo
1032301T,Necesidades Valores Y Proyectos De Vida,1,FALSE,2,3,0, Analisis de las cosas importantes en el desarrollo individual 

0135701T,Investigación De Operaciones I,4,FALSE,8,6,0,Manejo de recursos limitados de forma matemática
0424604T,Multimedia,3,FALSE,3,1,3,Fundamentos del contenido Multimedia
0425601T,Sistemas De Información I,3,FALSE,8,1,3,Fundamentos del manejo de la Información dentro de un sistema
0435606T,Comunicaciones I,3,FALSE,6,1,2,Fundamentos de la Comunicación entre computadores
0435607T,Sistemas Operativos,3,FALSE,8,1,2,Fundamentos de los sistemas operativos
1013401T,Economia,2,FALSE,3,3,0,Aspectos básicos de la economía
1000003T,Servicio Comunitario,0,FALSE,0,0,0,Servicio obligatotio donde se aplican los conocimientos obtenidos durante la carrera para beneficio de una comunidad

0134805T,Ingeniería Económica,3,FALSE,6,6,0,Fundamentos de la Matemática financiera
0425701T,Investigación De Operaciones II,3,FALSE,6,1,3,Manejo de recursos limitados orientado a la programación
0425705T,Base De Datos II,3,FALSE,8,1,3, 
0435708T,Comunicaciones II,3,FALSE,6,1,2, 
0435709T,Compiladores E Interpretes,3,FALSE,10,1,2, 
0233809T,Redes Neurales Y Lógica Difusa,2,TRUE,6,5,0,Aplicaciones de la logica difusa y les redes neuronales para la resolución de problemas
0243820T,Aprendizaje Automático,2,TRUE,6,5,0, 
0423504T,Formación De Emprendedores,2,TRUE,4,1,3,Guia de estudio para los futuro emprendedores
0423703T,Introducción A La Inteligencia Artificial,2,TRUE,4,5,0, 
0423707T,Análisis Y Procesamiento De Datos,2,TRUE,4,1,3, 
0433710T,Introducción A La Telecomunicaciones,2,TRUE,4,1,2,  
0433711T,Interfaces Digitales Biomedicas,2,TRUE,4,1,0, 

0423804T,Finanzas Para Ingenieros,2,FALSE,4,1,3,Finanzas aplicadas a la Ingenieria
0425801T,Sistemas De Información II,3,FALSE,6,1,3, 
0425803T,Simulación De Sistemas,3,FALSE,6,1,3, 
0843814T,Sistemas Distribuidos,3,FALSE,8,1,2, 
1113404T,Ecología Y Contaminación Ambiental,4,FALSE,4,4,0, 
0123614T,Gestión Tecnológica,2,TRUE,4,1,0,  
0123801T,Organización,2,TRUE,4,6,0, 
0423805T,Administración De Base De Datos,2,TRUE,4,1,3, 
0423807T,Desarrollo De Aplicaciones Web,2,TRUE,4,1,0, 
0423810T,Gerencia De Proyectos,2,TRUE,4,1,1, 
0433817T,Administración De Redes,2,TRUE,4,1,1,

0424902T,Seminario,3,FALSE,6,1,3, 
0425901T,Ingeniería Del Software,3,FALSE,6,1,3, 
1013308T,Metodología De La Investigación,2,FALSE,3,3,0, 
1032601T,Legislación Valores Y Proyecto De Pais,1,FALSE,2,3,0,Leyes fundamentales de la República Bolivariana de Venezuela
1000000T,Servicio De Proyecto Comunitario,0,FALSE,0,0,0, 
1000001T,Proyecto De Servicio Comunitario,0,FALSE,0,0,0, 

0400002T,Trabajo de Aplicación Profesional (Proyecto especial de grado),12,TRUE,0,0,0,  
0400001T,Trabajo de Aplicación Profesional (Pasantías Profesional),12,TRUE,0,0,0, 
